participant,trial,response_time,group,trialOrder,correct,side,changeTrial,RTwoOutlier,phase
P33,36,2.371567965,TLD,1,1,right,1.0,2.371567965,implicit
P33,37,2.363796949,TLD,1,1,left,1.0,2.363796949,implicit
P33,38,3.260910034,TLD,1,1,right,1.0,3.260910034,implicit
P33,39,2.533386946,TLD,1,1,right,0.0,2.533386946,implicit
P33,40,3.01018095,TLD,1,1,left,1.0,3.01018095,implicit
P33,41,2.459554911,TLD,1,1,right,1.0,2.459554911,implicit
P33,42,2.598879099,TLD,1,1,left,1.0,2.598879099,implicit
P33,43,3.162146091,TLD,1,1,left,0.0,3.162146091,implicit
P33,44,2.345062971,TLD,1,1,right,1.0,2.345062971,implicit
P33,45,2.759523153,TLD,1,1,left,1.0,2.759523153,implicit
P33,46,1.361096144,TLD,1,0,right,1.0,1.361096144,implicit
P33,47,2.467002869,TLD,1,1,right,0.0,2.467002869,implicit
P33,48,3.35701704,TLD,1,1,left,1.0,3.35701704,implicit
P37,1,1.066798925,TLD,3,1,left,0.0,,implicit
P37,2,1.752730846,TLD,3,0,right,1.0,1.752730846,implicit
P37,3,0.7297430038,TLD,3,1,left,1.0,,implicit
P37,4,0.5118288994,TLD,3,0,right,1.0,,implicit
P37,5,2.263468027,TLD,3,1,right,0.0,2.263468027,implicit
P37,6,2.276830912,TLD,3,1,left,1.0,2.276830912,implicit
P37,7,2.270848989,TLD,3,1,left,0.0,2.270848989,implicit
P37,8,2.526389122,TLD,3,1,right,1.0,2.526389122,implicit
P37,9,2.697201967,TLD,3,1,left,1.0,2.697201967,implicit
P37,10,1.76879406,TLD,3,0,left,0.0,1.76879406,implicit
P37,11,0.8291749954,TLD,3,1,right,1.0,,implicit
P37,12,0.5177760124,TLD,3,1,right,0.0,,implicit
P37,13,2.587496996,TLD,3,1,right,0.0,2.587496996,implicit
P37,14,1.855648994,TLD,3,1,left,1.0,1.855648994,implicit
P37,15,2.752075911,TLD,3,1,left,0.0,2.752075911,implicit
P37,16,2.360399961,TLD,3,1,right,1.0,2.360399961,implicit
P37,17,2.54834199,TLD,3,1,left,1.0,2.54834199,implicit
P37,18,2.508332968,TLD,3,1,right,1.0,2.508332968,implicit
P37,19,2.615767956,TLD,3,1,right,0.0,2.615767956,implicit
P37,20,2.795542955,TLD,3,0,left,1.0,2.795542955,implicit
P37,21,2.783097982,TLD,3,1,left,0.0,2.783097982,implicit
P37,22,2.56443119,TLD,3,1,right,1.0,2.56443119,implicit
P37,23,2.779644012,TLD,3,1,left,1.0,2.779644012,implicit
P37,24,2.547865152,TLD,3,1,right,1.0,2.547865152,implicit
P37,25,2.271022081,TLD,3,1,right,0.0,2.271022081,implicit
P37,26,2.658674002,TLD,3,1,left,1.0,2.658674002,implicit
P37,27,2.228564024,TLD,3,1,right,1.0,2.228564024,implicit
P37,28,2.579581022,TLD,3,1,left,1.0,2.579581022,implicit
P37,29,1.33240509,TLD,3,0,left,0.0,1.33240509,implicit
P37,30,2.260782003,TLD,3,1,right,1.0,2.260782003,implicit
P37,31,2.578342915,TLD,3,1,left,1.0,2.578342915,implicit
