index,phase,block,Sound1_preAndPosttest,Sound2_preAndPosttest,category,side,changeTrial,alternationTargetExpectation,SoundAndAlternationConvergence,soundfileNum,duration,pitch,blockOrig,trial,discrimStim.thisTrialN,discrimStim.thisIndex,key_resp_14.keys,pretestCorr,pretestDistance,key_resp_14.rt,resp_1.keys,resp_1.corr,responseAlternation.corr,resp_1.rt,mean,SD,RTwoOutlier,LowOutlier,HighOutlier,anticipationThreshold,additiveAgeRTCorrection,ageCorrection5yrs,anticipated,anticipated5,key_resp_20.keys,key_resp_20.corr,categoryDecision,key_resp_20.rt,participant,group,sex,demographicInfo,soundDimension,trialOrder
46,implicitTraining,2,,,,left,1,left,converge,3,0.54,1.893968967,2,27,,,,,,,left,1,1,2.52877593,2.634108613,0.530028056,2.52877593,2.52877593,2.52877593,1.8,0.74,0.58,1,0,,,,,P27,DLD,m,1547,pitch,1
47,implicitTraining,2,,,,left,0,right,conflict,1,0.3,1.07271948,2,28,,,,,,,left,1,0,2.968869925,2.634108613,0.530028056,2.968869925,2.968869925,2.968869925,1.8,0.74,0.58,0,0,,,,,P27,DLD,m,1547,pitch,1
48,implicitTraining,2,,,,right,1,right,converge,6,0.9,3.125843199,2,29,,,,,,,right,1,1,2.129602909,2.634108613,0.530028056,2.129602909,2.129602909,2.129602909,1.383,0.74,0.58,0,0,,,,,P27,DLD,m,1547,pitch,1
49,implicitTraining,2,,,,right,0,left,conflict,4,0.66,2.304593711,2,30,,,,,,,right,1,0,2.650970936,2.634108613,0.530028056,2.650970936,2.650970936,2.650970936,1.383,0.74,0.58,0,0,,,,,P27,DLD,m,1547,pitch,1
50,implicitTraining,2,,,,right,0,left,conflict,6,0.9,3.125843199,6,31,,,,,,,right,1,0,3.033080101,2.634108613,0.530028056,3.033080101,3.033080101,3.033080101,1.383,0.74,0.58,0,0,,,,,P27,DLD,m,1547,pitch,1
51,implicitTraining,2,,,,left,1,left,converge,3,0.54,1.893968967,6,32,,,,,,,left,1,1,2.593960047,2.634108613,0.530028056,2.593960047,2.593960047,2.593960047,1.8,0.74,0.58,0,0,,,,,P27,DLD,m,1547,pitch,1
52,implicitTraining,2,,,,left,0,right,conflict,2,0.42,1.483344223,6,33,,,,,,,left,1,0,2.720290899,2.634108613,0.530028056,2.720290899,2.720290899,2.720290899,1.8,0.74,0.58,0,0,,,,,P27,DLD,m,1547,pitch,1
53,implicitTraining,2,,,,right,1,right,converge,4,0.66,2.304593711,6,34,,,,,,,right,1,1,2.560121059,2.634108613,0.530028056,2.560121059,2.560121059,2.560121059,1.383,0.74,0.58,0,0,,,,,P27,DLD,m,1547,pitch,1
54,implicitTraining,2,,,,left,1,left,converge,1,0.3,1.07271948,6,35,,,,,,,left,1,1,2.610692024,2.634108613,0.530028056,2.610692024,2.610692024,2.610692024,1.8,0.74,0.58,0,0,,,,,P27,DLD,m,1547,pitch,1
55,implicitTraining,2,,,,right,1,right,converge,5,0.78,2.715218455,6,36,,,,,,,right,1,1,2.514280796,2.634108613,0.530028056,2.514280796,2.514280796,2.514280796,1.383,0.74,0.58,0,0,,,,,P27,DLD,m,1547,pitch,1
56,implicitTraining,2,,,,left,1,left,converge,1,0.3,1.07271948,7,37,,,,,,,left,1,1,2.461099863,2.634108613,0.530028056,2.461099863,2.461099863,2.461099863,1.8,0.74,0.58,1,0,,,,,P27,DLD,m,1547,pitch,1
57,implicitTraining,2,,,,right,1,right,converge,4,0.66,2.304593711,7,38,,,,,,,right,1,1,2.84088707,2.634108613,0.530028056,2.84088707,2.84088707,2.84088707,1.383,0.74,0.58,0,0,,,,,P27,DLD,m,1547,pitch,1
58,implicitTraining,2,,,,right,0,left,conflict,6,0.9,3.125843199,7,39,,,,,,,right,1,0,2.548088074,2.634108613,0.530028056,2.548088074,2.548088074,2.548088074,1.383,0.74,0.58,0,0,,,,,P27,DLD,m,1547,pitch,1
59,implicitTraining,2,,,,left,1,left,converge,3,0.54,1.893968967,7,40,,,,,,,left,1,1,3.012194872,2.634108613,0.530028056,3.012194872,3.012194872,3.012194872,1.8,0.74,0.58,0,0,,,,,P27,DLD,m,1547,pitch,1
60,implicitTraining,2,,,,right,1,right,converge,5,0.78,2.715218455,7,41,,,,,,,right,1,1,4.757575989,2.634108613,0.530028056,NA,4.757575989,NA,1.383,0.74,0.58,0,0,,,,,P27,DLD,m,1547,pitch,1
61,implicitTraining,2,,,,left,1,left,converge,2,0.42,1.483344223,7,42,,,,,,,left,1,1,2.445764065,2.634108613,0.530028056,2.445764065,2.445764065,2.445764065,1.8,0.74,0.58,1,0,,,,,P27,DLD,m,1547,pitch,1
62,implicitTraining,2,,,,left,0,right,conflict,3,0.54,1.893968967,3,43,,,,,,,left,1,0,2.787024975,2.634108613,0.530028056,2.787024975,2.787024975,2.787024975,1.8,0.74,0.58,0,0,,,,,P27,DLD,m,1547,pitch,1
63,implicitTraining,2,,,,right,1,right,converge,6,0.9,3.125843199,3,44,,,,,,,right,1,1,2.240979195,2.634108613,0.530028056,2.240979195,2.240979195,2.240979195,1.383,0.74,0.58,0,0,,,,,P27,DLD,m,1547,pitch,1
64,implicitTraining,2,,,,left,1,left,converge,2,0.42,1.483344223,3,45,,,,,,,left,1,1,2.514655113,2.634108613,0.530028056,2.514655113,2.514655113,2.514655113,1.8,0.74,0.58,1,0,,,,,P27,DLD,m,1547,pitch,1
65,implicitTraining,2,,,,right,1,right,converge,5,0.78,2.715218455,3,46,,,,,,,right,1,1,2.57850194,2.634108613,0.530028056,2.57850194,2.57850194,2.57850194,1.383,0.74,0.58,0,0,,,,,P27,DLD,m,1547,pitch,1
66,implicitTraining,2,,,,right,0,left,conflict,4,0.66,2.304593711,3,47,,,,,,,right,1,0,2.035357952,2.634108613,0.530028056,2.035357952,2.035357952,2.035357952,1.383,0.74,0.58,1,0,,,,,P27,DLD,m,1547,pitch,1
67,implicitTraining,2,,,,left,1,left,converge,1,0.3,1.07271948,3,48,,,,,,,left,1,1,2.292121172,2.634108613,0.530028056,2.292121172,2.292121172,2.292121172,1.8,0.74,0.58,1,1,,,,,P27,DLD,m,1547,pitch,1
68,,,,,,,,,,,,,,,,,,,,,,,,,2.634108613,0.530028056,NA,NA,0,,,0.58,,,,,,,P27,DLD,m,1547,pitch,1
69,explicitTest,3,,,,left,0,#REF!,#REF!,1,0.3,1.07271948,1,49,,,,,,,,,#REF!,,2.634108613,0.530028056,NA,NA,0,1.8,0.74,0.58,0,0,p,0,,27.10899305,P27,DLD,m,1547,pitch,1
70,explicitTest,3,,,,right,1,right,converge,4,0.66,2.304593711,1,50,,,,,,,,,0,,2.634108613,0.530028056,NA,NA,0,1.383,0.74,0.58,0,0,left,0,0,8.179809809,P27,DLD,m,1547,pitch,1
71,explicitTest,3,,,,right,0,left,conflict,5,0.78,2.715218455,1,51,,,,,,,,,1,,2.634108613,0.530028056,NA,NA,0,1.383,0.74,0.58,0,0,left,0,0,9.995641947,P27,DLD,m,1547,pitch,1
72,explicitTest,3,,,,left,1,left,converge,3,0.54,1.893968967,1,52,,,,,,,,,0,,2.634108613,0.530028056,NA,NA,0,1.8,0.74,0.58,0,0,right,0,1,6.414720058,P27,DLD,m,1547,pitch,1
73,explicitTest,3,,,,left,0,right,conflict,2,0.42,1.483344223,1,53,,,,,,,,,0,,2.634108613,0.530028056,NA,NA,0,1.8,0.74,0.58,0,0,left,1,0,0.09900403023,P27,DLD,m,1547,pitch,1
74,explicitTest,3,,,,right,1,right,converge,6,0.9,3.125843199,1,54,,,,,,,,,1,,2.634108613,0.530028056,NA,NA,0,1.383,0.74,0.58,0,0,right,1,1,13.2588799,P27,DLD,m,1547,pitch,1
75,explicitTest,3,,,,right,0,left,conflict,5,0.78,2.715218455,5,55,,,,,,,,,1,,2.634108613,0.530028056,NA,NA,0,1.383,0.74,0.58,0,0,left,0,0,7.012847185,P27,DLD,m,1547,pitch,1
76,explicitTest,3,,,,left,1,left,converge,2,0.42,1.483344223,5,56,,,,,,,,,1,,2.634108613,0.530028056,NA,NA,0,1.8,0.74,0.58,0,0,left,1,0,9.395215988,P27,DLD,m,1547,pitch,1
77,explicitTest,3,,,,left,0,right,conflict,1,0.3,1.07271948,5,57,,,,,,,,,1,,2.634108613,0.530028056,NA,NA,0,1.8,0.74,0.58,0,0,right,0,1,3.549454927,P27,DLD,m,1547,pitch,1
