participant,trial,group,trialOrder,side,changeTrial,RTwoOutlier,soundDimension,soundfileNum,duration,pitch,response_time,correct,phase,RT_3x_std
P62,43,DLD,5,right,0.0,True,pitch,6,0.9,3.125843199,2.483575106,1,implicit,True
P62,44,DLD,5,left,1.0,True,pitch,3,0.54,1.893968967,2.7792871,1,implicit,True
P62,45,DLD,5,left,0.0,True,pitch,2,0.42,1.483344223,2.884157896,1,implicit,True
P62,46,DLD,5,right,1.0,True,pitch,4,0.66,2.304593711,2.594589949,1,implicit,True
P62,47,DLD,5,left,1.0,True,pitch,1,0.3,1.07271948,3.347503185,1,implicit,True
P62,48,DLD,5,right,1.0,True,pitch,5,0.78,2.715218455,3.574754,1,implicit,True
P65,1,DLD,1,left,0.0,True,pitch,1,0.3,1.07271948,3.01788187,1,implicit,True
P65,2,DLD,1,right,1.0,True,pitch,4,0.66,2.304593711,3.209078074,1,implicit,True
P65,3,DLD,1,right,0.0,True,pitch,5,0.78,2.715218455,2.833554983,1,implicit,True
P65,4,DLD,1,left,1.0,True,pitch,3,0.54,1.893968967,2.373021841,1,implicit,True
P65,5,DLD,1,left,0.0,False,pitch,2,0.42,1.483344223,13.53171206,1,implicit,False
P65,6,DLD,1,right,1.0,True,pitch,6,0.9,3.125843199,2.805762053,1,implicit,True
P65,7,DLD,1,right,0.0,True,pitch,5,0.78,2.715218455,3.164620876,1,implicit,True
P65,8,DLD,1,left,1.0,True,pitch,2,0.42,1.483344223,2.612048864,1,implicit,True
P65,9,DLD,1,left,0.0,True,pitch,1,0.3,1.07271948,2.800783157,1,implicit,True
P65,10,DLD,1,right,1.0,True,pitch,4,0.66,2.304593711,2.227290869,1,implicit,True
P65,11,DLD,1,left,1.0,True,pitch,3,0.54,1.893968967,2.56202507,1,implicit,True
P65,12,DLD,1,right,1.0,True,pitch,6,0.9,3.125843199,2.045995951,1,implicit,True
P65,13,DLD,1,right,0.0,True,pitch,4,0.66,2.304593711,2.796905994,1,implicit,True
P65,14,DLD,1,left,1.0,True,pitch,1,0.3,1.07271948,2.660192966,1,implicit,True
